title,price,location,rooms,size
Villa,"1,200","Al Buraimi, Al Buraimi",5,"1,500 Sq. M."
Villa,"1,500","Qantab, Muscat",5,"1,500 Sq. M."
Apartment,"1,200","Mahut, Al Wusta",3,"1,000 Sq. M."
Villa,"1,500","Al Sifah, Muscat",5,"1,000 Sq. M."
Villa,"1,000","Hamra, Al Dakhiliya",4,"1,000 Sq. M."
Apartment,"120,000","Al Sinainah, Al Buraimi",3,110 Sq. M.
Apartment,"100,000","Al Duqum, Al Wusta",2,100 Sq. M.
Apartment,"220,000","Al Duqum, Al Wusta",3,100 Sq. M.
Apartment,"220,000","Taqah, Dhofar",2,112 Sq. M.
Apartment,"22,000","Muqshin, Dhofar",2,112 Sq. M.
Villa,"2,000","Bahla, Al Dakhiliya",3,"1,000 Sq. M."
Villa,"390,000","Muscat Hills, Muscat",3,471 Sq. M.
Apartment,"81,000","Muscat Hills, Muscat",2,132 Sq. M.
Villa,"125,000","Al Seeb, Muscat",6,363 Sq. M.
Villa,"49,000","Barka, Al Batinah",3,345 Sq. M.
Villa,"380,000","The Wave (Almouj), Muscat",5,502 Sq. M.
Villa,"309,000","The Wave (Almouj), Muscat",4,420 Sq. M.
Villa,"79,999","Al Amarat, Muscat",6,650 Sq. M.
Apartment,"85,000","Al Ghubrah, Muscat",3,160 Sq. M.
Villa,"295,000","The Wave (Almouj), Muscat",5,265 Sq. M.
Villa,"74,000","Al Maabilah, Muscat",4,260 Sq. M.
Apartment,"93,000","The Wave (Almouj), Muscat",1,107 Sq. M.
Apartment,"67,000","Muscat Hills, Muscat",1,70 Sq. M.
Apartment,"130,000","The Wave (Almouj), Muscat",2,149 Sq. M.
Villa,"85,000","Salalah, Dhofar",2,120 Sq. M.
Villa,"496,000","Qantab, Muscat",3,769 Sq. M.
Villa,"442,300","Qantab, Muscat",4,769 Sq. M.
Villa,"59,000","Al Amarat, Muscat",3,178 Sq. M.
Apartment,"195,000","The Wave (Almouj), Muscat",3,235 Sq. M.
Villa,"116,500","Sultan Haitham City, Muscat",3,194 Sq. M.
Villa,"111,700","Sultan Haitham City, Muscat",3,194 Sq. M.
