title,price,location,rooms,size
Villa,1200,"Al Buraimi, Al Buraimi",5.0,1
Villa,1500,"Qantab, Muscat",5.0,1
Apartment,1200,"Mahut, Al Wusta",3.0,1
Villa,1500,"Al Sifah, Muscat",5.0,1
Villa,1000,"Hamra, Al Dakhiliya",4.0,1
Apartment,120000,"Al Sinainah, Al Buraimi",3.0,110
Apartment,100000,"Al Duqum, Al Wusta",2.0,100
Apartment,220000,"Al Duqum, Al Wusta",3.0,100
Apartment,220000,"Taqah, Dhofar",2.0,112
Apartment,22000,"Muqshin, Dhofar",2.0,112
Villa,2000,"Bahla, Al Dakhiliya",3.0,1
Villa,390000,"Muscat Hills, Muscat",3.0,471
Apartment,81000,"Muscat Hills, Muscat",2.0,132
Villa,125000,"Al Seeb, Muscat",6.0,363
Villa,49000,"Barka, Al Batinah",3.0,345
Villa,380000,"The Wave (Almouj), Muscat",5.0,502
Villa,309000,"The Wave (Almouj), Muscat",4.0,420
Villa,79999,"Al Amarat, Muscat",6.0,650
Apartment,85000,"Al Ghubrah, Muscat",3.0,160
Villa,295000,"The Wave (Almouj), Muscat",5.0,265
Villa,74000,"Al Maabilah, Muscat",4.0,260
Apartment,93000,"The Wave (Almouj), Muscat",1.0,107
Apartment,67000,"Muscat Hills, Muscat",1.0,70
Apartment,130000,"The Wave (Almouj), Muscat",2.0,149
Villa,85000,"Salalah, Dhofar",2.0,120
Villa,496000,"Qantab, Muscat",3.0,769
Villa,442300,"Qantab, Muscat",4.0,769
Villa,59000,"Al Amarat, Muscat",3.0,178
Apartment,195000,"The Wave (Almouj), Muscat",3.0,235
Villa,116500,"Sultan Haitham City, Muscat",3.0,194
Villa,111700,"Sultan Haitham City, Muscat",3.0,194
Villa,121200,"Sultan Haitham City, Muscat",3.0,205
Villa,325000,"Muscat Hills, Muscat",4.0,423
Apartment,55000,"Al Sifah, Muscat",1.0,59
Apartment,198000,"The Wave (Almouj), Muscat",3.0,200
Villa,98000,"Al Seeb, Muscat",7.0,300
Villa,350000,"Muscat - Other, Muscat",4.0,460
Apartment,88000,"Muscat Hills, Muscat",1.0,105
Apartment,85034,"Yiti, Muscat",1.0,79
Apartment,59000,"Ghala, Muscat",2.0,139
Villa,59000,"Barka, Al Batinah",4.0,300
Apartment,54000,"Qurum, Muscat",3.0,108
Apartment,450000,"The Wave (Almouj), Muscat",2.0,183
Apartment,95000,"Al Sifah, Muscat",2.0,129
Apartment,99000,"Al Sifah, Muscat",2.0,129
Apartment,85000,"Salalah, Dhofar",2.0,120
Apartment,125000,"The Wave (Almouj), Muscat",2.0,139
Apartment,74350,"Al Maabilah, Muscat",3.0,155
Residential Land,12300,"Thumrait, Dhofar",,586
Apartment,108990,"Al Maabilah, Muscat",3.0,155
Villa,429000,"Madinat As Sultan Qaboos, Muscat",5.0,725
Villa,205000,"Muscat Hills, Muscat",4.0,270
Apartment,405000,"Qurum, Muscat",2.0,131
Villa,480000,"The Wave (Almouj), Muscat",6.0,619
Villa,62000,"Barka, Al Batinah",5.0,354
Villa,350000,"Salalah, Dhofar",3.0,292
Apartment,140000,"The Wave (Almouj), Muscat",2.0,127
Apartment,100130,"Al Maabilah, Muscat",3.0,138
Villa,578000,"The Wave (Almouj), Muscat",5.0,455
Apartment,65000,"Al Sifah, Muscat",1.0,91
Villa,905000,"Yiti, Muscat",5.0,405
Villa,922000,"Yiti, Muscat",5.0,405
Residential Land,6200,"Al Amarat, Muscat",,1
Apartment,8000,"Wadi Bani Khalid, Al Sharqiya",2.0,900
Chalet,59000,"Barka, Al Batinah",3.0,192
Villa,900,"Al Sifah, Muscat",4.0,900
Villa,85000,"Al Khoud, Muscat",4.0,283
Apartment,60000,"Al Khuwair, Muscat",3.0,125
Apartment,100000,"The Wave (Almouj), Muscat",1.0,90
Apartment,89000,"The Wave (Almouj), Muscat",1.0,104
Chalet,190000,"Al Sifah, Muscat",2.0,990
Residential Land,31000,"Mirbat, Dhofar",,600
Apartment,85000,"Muscat Hills, Muscat",2.0,120
Apartment,20000,"Salalah, Dhofar",2.0,64
Chalet,95000,"Misfah, Muscat",3.0,600
Villa,105000,"Al Maabilah, Muscat",5.0,300
Villa,137000,"Al Khoud, Muscat",5.0,420
Villa,165000,"Al Khoud, Muscat",3.0,500
Villa,160000,"Al Mawaleh, Muscat",6.0,408
Apartment,55000,"Taqah, Dhofar",1.0,75
Villa,232000,"Ansab, Muscat",7.0,664
Apartment,135000,"The Wave (Almouj), Muscat",2.0,138
Apartment,140000,"The Wave (Almouj), Muscat",2.0,127
Apartment,39000,"Al Hail, Muscat",1.0,79
Villa,78000,"Barka, Al Batinah",8.0,350
Villa,274733,"Yiti, Muscat",3.0,238
Villa,63500,"Barka, Al Batinah",5.0,327
Villa,725000,"The Wave (Almouj), Muscat",6.0,606
Villa,135000,"Salalah, Dhofar",2.0,124
Residential Land,34000,"Barka, Al Batinah",,600
Villa,140000,"Al Hail, Muscat",6.0,3
Apartment,109000,"Taqah, Dhofar",2.0,130
Apartment,68590,"Al Maabilah, Muscat",3.0,138
Apartment,44500,"Ghala, Muscat",2.0,95
Villa,35500,"Barka, Al Batinah",2.0,600
Apartment,68032,"Al Seeb, Muscat",1.0,96
