Title,Location,Price,Size,Listing_Type
واخيراً أقوى سوق تجاري في السلطنة تملك محلك التجاري مع محمد الرواحي بدون فوائد واقساط 30 شهر,", Seeb, 771110XX","29,406 OMR",30.0,for sale
For sale at Muscat hills 2 bedrooms apartment 135Sqm ready to move for life time Oman residency,", Muscat Hills, 982521XX","97,000 OMR",135.0,for sale
32 m2 Studio Apartments for Sale in Muscat Halban,", Halban, 943336XX","7,800 OMR",32.0,for sale
Residential Land for Sale in Muscat Quriyat,", Quriyat, 726131XX","12,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 970008XX","46,000 OMR",150.0,for sale
تملك محلك على اول خط شارع السلطان قابوس في أكبر سوق تجاري فؤ عمان بدون فوائد,", Bosher, 771110XX","29,406 OMR",30.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 970008XX","2,600 OMR",150.0,for sale
مكتب للبيع شبه جاهز في موقع حيوي وارقى التشطيبات و المميزات  وعائد شهري مضمون,", Ghala, 977542XX","31,000 OMR",63.0,for sale
60 m2 1 Bedroom Apartments for Sale in Muscat Bosher,", Bosher, 955999XX","27,000 OMR",60.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 969666XX","20,500 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 970008XX","27,000 OMR",150.0,for sale
محلات تجارية ف منطقة حيوية جدا,", Al Khoud, 938800XX","25,000 OMR",31.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 970008XX","8,500 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 929015XX","11,110 OMR",150.0,for sale
60 m2 1 Bedroom Apartments for Sale in Muscat Ghala,", Ghala, 770009XX","26,000 OMR",60.0,for sale
300 m2 More than 6 bedrooms Villa for Sale in Muscat Bosher,", Bosher, 773473XX","146,000 OMR",300.0,for sale
بالاقساط علي 9 سنوات تملك محلك في أول مول في مسقط هيلز بدون فوائد!!!,", Muscat Hills, 773473XX","39,750 OMR",15.0,for sale
59 m2 1 Bedroom Apartments for Sale in Muscat Azaiba,", Azaiba, 773473XX","29,500 OMR",59.0,for sale
فرصة استثمارية مكاتب ومحلات باقساط ممدده لمدة 10 سنوات وبموقع مميز في قلب بوشر!!!!,", Bosher, 773473XX","22,500 OMR",50.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 948889XX","8,200 OMR",150.0,for sale
272 m2 4 Bedrooms Villa for Sale in Dhofar Salala,", Salala, 717099XX","72,000 OMR",272.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 944423XX","98,000 OMR",150.0,for sale
Building for Sale in Muscat Ghala,", Ghala, 924618XX","950,000 OMR",2200.0,for sale
عرض مميز للبيع مكتب طابق ارضي نظام بزنس سنتر مؤجر ومقسم ل تسعة مكاتب في غلا,", Ghala, 924618XX","140,000 OMR",190.0,for sale
67 m2 2 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 955952XX","33,000 OMR",67.0,for sale
65 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 955952XX","25,500 OMR",65.0,for sale
67 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 955952XX","26,500 OMR",67.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 964041XX","17,800 OMR",150.0,for sale
Luxury 2bedroom apartment for sale in Muscat hills,", Muscat Hills, 786427XX","85,000 OMR",130.0,for sale
65 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 955952XX","25,500 OMR",65.0,for sale
60 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 933322XX","17,500 OMR",60.0,for sale
192 m2 5 Bedrooms Villa for Sale in Al Batinah Barka,", Barka, 961213XX","44,000 OMR",192.0,for sale
واجهة عملك تبدأ بمكتب فاخر في مشروع العُلا الواقع في غلا - مرتفعات المطار,", Ghala, 955952XX","31,000 OMR",63.0,for sale
660 m2 1 Bedroom Apartments for Sale in Muscat Bosher,", Bosher, 727272XX","25,000 OMR",660.0,for sale
114 m2 3 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 955952XX","51,000 OMR",114.0,for sale
300 m2 4 Bedrooms Villa for Sale in Muscat Al Maabilah,", Al Maabilah, 919111XX","65,000 OMR",300.0,for sale
مکاتب تجاریة ا استثمار ذهبي ا تقسیط ا موج مسقط,", Al Mouj, 939918XX","2,100,000 OMR",1128.0,for sale
محل للتاجير في موقع الذهبي في بوشر على الشارع دوحة الادب جاهز بمساحة كبيره جاهز للشغل فيه,", Bosher, 722298XX","1,300 OMR",150.0,for sale
محل مميز للبيع في بوشر مقابل عمان مول - على بعد خطوات من جامع محمد الأمين و مجمع بوشر الرياضي,", Bosher, 955952XX","49,000 OMR",49.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 964041XX","23,800 OMR",150.0,for sale
58 m2 1 Bedroom Apartments for Sale in Muscat Bosher,", Bosher, 955952XX","29,000 OMR",58.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 995505XX","35,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 926866XX","5,900 OMR",150.0,for sale
113 m2 2 Bedrooms Apartments for Sale in Muscat Al Khoud,", Al Khoud, 991119XX","41,000 OMR",113.0,for sale
250 m2 5 Bedrooms Townhouse for Sale in Muscat Al Maabilah,", Al Maabilah, 949990XX","87,000 OMR",250.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","7,400 OMR",150.0,for sale
122 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 969317XX","39,500 OMR",122.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 988969XX","25,000 OMR",150.0,for sale
122 m2 3 Bedrooms Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 915716XX","39,500 OMR",122.0,for sale
112 m2 3 Bedrooms Apartments for Sale in Muscat Ghubrah,", Ghubrah, 980242XX","50,000 OMR",112.0,for sale
51 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 980242XX","27,000 OMR",51.0,for sale
أنا المالك للبيع مكتب غير مؤجر في غلا جنب فندق سنتارا مساحه 245 متر بسعر مميز,", Ghala, 924618XX","125,000 OMR",245.0,for sale
62 m2 1 Bedroom Apartments for Sale in Muscat Bosher,", Bosher, 998915XX","27,000 OMR",62.0,for sale
96 m2 2 Bedrooms Apartments for Sale in Muscat Al Mawaleh,", Al Mawaleh, 727272XX","33,500 OMR",96.0,for sale
امتلك محلك الآن في موقع حيوي – قيد الإنشاء في قلب المعبيلة,", Al Maabilah, 933322XX","52,000 OMR",36.0,for sale
115 m2 3 Bedrooms Apartments for Sale in Muscat Al Mawaleh,", Al Mawaleh, 727272XX","40,500 OMR",115.0,for sale
مكاتب قيد الإنشاء مع تسهيلات دفع – مثالية للاستثمار في المعبيلة,", Al Maabilah, 933322XX","25,000 OMR",71.0,for sale
152 m2 3 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 966664XX","120,000 OMR",152.0,for sale
51 m2 1 Bedroom Apartments for Sale in Dhofar Salala,", Salala, 929177XX","16,000 OMR",51.0,for sale
Residential Land for Sale in Al Batinah Al Masnaah,", Al Masnaah, 993407XX","4,100 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 977987XX","92,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Suwaiq,", Suwaiq, 915666XX","12,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Suwaiq,", Suwaiq, 915666XX","12,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 985666XX","10,500 OMR",150.0,for sale
Residential Land for Sale in Dhofar Salala,", Salala, 921022XX","30,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 977987XX","11,700 OMR",150.0,for sale
101 m2 3 Bedrooms Apartments for Sale in Muscat Al Mawaleh,", Al Mawaleh, 919111XX","47,000 OMR",101.0,for sale
463 m2 5 Bedrooms Villa for Sale in Buraimi Al Buraimi,", Al Buraimi, 925619XX","75,000 OMR",463.0,for sale
Residential Land for Sale in Dhofar Salala,", Salala, 990887XX","37,000 OMR",150.0,for sale
252 m2 4 Bedrooms Townhouse for Sale in Al Batinah Suwaiq,", Suwaiq, 966665XX","47,000 OMR",252.0,for sale
Commercial Land for Sale in Al Batinah Suwaiq,", Suwaiq, 984848XX","15,000 OMR",150.0,for sale
farm land for land in masnaah near barka batinah,", Al Masnaah, 993583XX","99,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 911195XX","1,000,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 911195XX","52,000 OMR",150.0,for sale
Farm Land for Sale in Al Batinah Suwaiq,", Suwaiq, 923895XX","15,500 OMR",150.0,for sale
71 m2 3 Bedrooms Apartments for Sale in Dhofar Salala,", Salala, 955550XX","23,000 OMR",71.0,for sale
223 m2 3 Bedrooms Townhouse for Sale in Al Batinah Saham,", Saham, 711272XX","36,000 OMR",223.0,for sale
Farm Land for Sale in Al Batinah Sohar,", Sohar, 941557XX","35,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 929015XX","4,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 933883XX","20,500 OMR",150.0,for sale
Commercial Land for Sale in Muscat Amerat,", Amerat, 911195XX","26,000 OMR",150.0,for sale
Farm Land for Sale in Muscat Bosher,", Bosher, 911195XX","19,000 OMR",150.0,for sale
مقهى كرك فاخر للبيع في بركاء,", Barka, 977222XX","5,500 OMR",60.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 911195XX","33,000 OMR",150.0,for sale
Farm Land for Sale in Muscat Amerat,", Amerat, 911195XX","82,000 OMR",150.0,for sale
Commercial Land for Sale in Muscat Al Maabilah,", Al Maabilah, 911195XX","200,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 911195XX","8,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 911195XX","38,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 911195XX","2,600 OMR",150.0,for sale
90 m2 2 Bedrooms Apartments for Sale in Dhofar Salala,", Salala, 784888XX","17,500 OMR",90.0,for sale
123 m2 2 Bedrooms Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 940700XX","32,000 OMR",123.0,for sale
270 m2 5 Bedrooms Townhouse for Sale in Al Batinah Saham,", Saham, 986844XX","55,000 OMR",270.0,for sale
Residential Land for Sale in Muscat Bosher,", Bosher, 977987XX","115,000 OMR",150.0,for sale
Freehold Brand New 4-Bedroom Townhouse for Sale in Muscat Hills,", Muscat Hills, 786427XX","260,000 OMR",309.0,for sale
"1-Bedroom Apartment with Stunning Ocean Views – The Great Escape Building, AIDA",", Yiti, 944477XX","75,000 OMR",72.0,for sale
Twin villa for sale Al ghubra opposite Royal hospital,", Ghubrah, 928219XX","189,000 OMR",500.0,for sale
Farm Land for Sale in Dhofar Thumrait,", Thumrait, 925418XX","230,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 985666XX","11,300 OMR",150.0,for sale
Residential Land for Sale in Al Dakhiliya Izki,", Izki, 992429XX","15,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 985666XX","29,500 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Al Masnaah,", Al Masnaah, 949377XX","2,850 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 922111XX","14,300 OMR",150.0,for sale
Farm Land for Sale in Al Dakhiliya Nizwa,", Nizwa, 991117XX","100,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 985666XX","8,500 OMR",150.0,for sale
310 m2 4 Bedrooms Villa for Sale in Al Dakhiliya Bahla,", Bahla, 771350XX","49,000 OMR",310.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 985666XX","18,900 OMR",150.0,for sale
For sale in MQ Duplex That Offers the Perfect Blend of Location and Luxury with installments,", Madinat As Sultan Qaboos, 915716XX","62,000 OMR",114.0,for sale
114 m2 2 Bedrooms Apartments for Sale in Muscat Madinat As Sultan Qaboos,", Madinat As Sultan Qaboos, 915716XX","62,000 OMR",114.0,for sale
"For sale flat 2BHK in the most classy area in  MQ opposite of salam square,next to oasis mall in",", Madinat As Sultan Qaboos, 915716XX","47,500 OMR",80.0,for sale
64 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 915716XX","21,500 OMR",64.0,for sale
58 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 915716XX","18,000 OMR",58.0,for sale
61 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 915716XX","20,000 OMR",61.0,for sale
