title,price,location,rooms,size
Villa,1200,"Al Buraimi, Al Buraimi",5.0,1.0
Villa,1500,"Qantab, Muscat",5.0,1.0
Apartment,1200,"Mahut, Al Wusta",3.0,1.0
Villa,1500,"Al Sifah, Muscat",5.0,1.0
Villa,1000,"Hamra, Al Dakhiliya",4.0,1.0
Apartment,120000,"Al Sinainah, Al Buraimi",3.0,110.0
Apartment,100000,"Al Duqum, Al Wusta",2.0,100.0
Apartment,220000,"Al Duqum, Al Wusta",3.0,100.0
Apartment,220000,"Taqah, Dhofar",2.0,112.0
Apartment,22000,"Muqshin, Dhofar",2.0,112.0
Villa,2000,"Bahla, Al Dakhiliya",3.0,1.0
Villa,390000,"Muscat Hills, Muscat",3.0,471.0
Apartment,81000,"Muscat Hills, Muscat",2.0,132.0
Villa,125000,"Al Seeb, Muscat",6.0,363.0
Villa,49000,"Barka, Al Batinah",3.0,345.0
Villa,380000,"The Wave (Almouj), Muscat",5.0,502.0
Villa,309000,"The Wave (Almouj), Muscat",4.0,420.0
Villa,79999,"Al Amarat, Muscat",6.0,650.0
Apartment,85000,"Al Ghubrah, Muscat",3.0,160.0
Villa,295000,"The Wave (Almouj), Muscat",5.0,265.0
Villa,74000,"Al Maabilah, Muscat",4.0,260.0
Apartment,93000,"The Wave (Almouj), Muscat",1.0,107.0
Apartment,67000,"Muscat Hills, Muscat",1.0,70.0
Apartment,130000,"The Wave (Almouj), Muscat",2.0,149.0
Villa,85000,"Salalah, Dhofar",2.0,120.0
Villa,496000,"Qantab, Muscat",3.0,769.0
Villa,442300,"Qantab, Muscat",4.0,769.0
Villa,59000,"Al Amarat, Muscat",3.0,178.0
Apartment,195000,"The Wave (Almouj), Muscat",3.0,235.0
Villa,116500,"Sultan Haitham City, Muscat",3.0,194.0
Villa,111700,"Sultan Haitham City, Muscat",3.0,194.0
Villa,121200,"Sultan Haitham City, Muscat",3.0,205.0
Villa,325000,"Muscat Hills, Muscat",4.0,423.0
Apartment,55000,"Al Sifah, Muscat",1.0,59.0
Apartment,198000,"The Wave (Almouj), Muscat",3.0,200.0
Villa,98000,"Al Seeb, Muscat",7.0,300.0
Villa,350000,"Muscat - Other, Muscat",4.0,460.0
Apartment,88000,"Muscat Hills, Muscat",1.0,105.0
Apartment,85034,"Yiti, Muscat",1.0,79.0
Apartment,59000,"Ghala, Muscat",2.0,139.0
Villa,59000,"Barka, Al Batinah",4.0,300.0
Apartment,54000,"Qurum, Muscat",3.0,108.0
Apartment,450000,"The Wave (Almouj), Muscat",2.0,183.0
Apartment,95000,"Al Sifah, Muscat",2.0,129.0
Apartment,99000,"Al Sifah, Muscat",2.0,129.0
Apartment,85000,"Salalah, Dhofar",2.0,120.0
Apartment,125000,"The Wave (Almouj), Muscat",2.0,139.0
Apartment,74350,"Al Maabilah, Muscat",3.0,155.0
Residential Land,12300,"Thumrait, Dhofar",,586.0
Apartment,108990,"Al Maabilah, Muscat",3.0,155.0
Villa,429000,"Madinat As Sultan Qaboos, Muscat",5.0,725.0
Villa,205000,"Muscat Hills, Muscat",4.0,270.0
Apartment,405000,"Qurum, Muscat",2.0,131.0
Villa,480000,"The Wave (Almouj), Muscat",6.0,619.0
Villa,62000,"Barka, Al Batinah",5.0,354.0
Villa,350000,"Salalah, Dhofar",3.0,292.0
Apartment,140000,"The Wave (Almouj), Muscat",2.0,127.0
Apartment,100130,"Al Maabilah, Muscat",3.0,138.0
Villa,578000,"The Wave (Almouj), Muscat",5.0,455.0
Apartment,65000,"Al Sifah, Muscat",1.0,91.0
Villa,905000,"Yiti, Muscat",5.0,405.0
Villa,922000,"Yiti, Muscat",5.0,405.0
Residential Land,6200,"Al Amarat, Muscat",,1.0
Apartment,8000,"Wadi Bani Khalid, Al Sharqiya",2.0,900.0
Chalet,59000,"Barka, Al Batinah",3.0,192.0
Villa,900,"Al Sifah, Muscat",4.0,900.0
Villa,85000,"Al Khoud, Muscat",4.0,283.0
Apartment,60000,"Al Khuwair, Muscat",3.0,125.0
Apartment,100000,"The Wave (Almouj), Muscat",1.0,90.0
Apartment,89000,"The Wave (Almouj), Muscat",1.0,104.0
Chalet,190000,"Al Sifah, Muscat",2.0,990.0
Residential Land,31000,"Mirbat, Dhofar",,600.0
Apartment,85000,"Muscat Hills, Muscat",2.0,120.0
Apartment,20000,"Salalah, Dhofar",2.0,64.0
Chalet,95000,"Misfah, Muscat",3.0,600.0
Villa,105000,"Al Maabilah, Muscat",5.0,300.0
Villa,137000,"Al Khoud, Muscat",5.0,420.0
Villa,165000,"Al Khoud, Muscat",3.0,500.0
Villa,160000,"Al Mawaleh, Muscat",6.0,408.0
Apartment,55000,"Taqah, Dhofar",1.0,75.0
Villa,232000,"Ansab, Muscat",7.0,664.0
Apartment,135000,"The Wave (Almouj), Muscat",2.0,138.0
Apartment,140000,"The Wave (Almouj), Muscat",2.0,127.0
Apartment,39000,"Al Hail, Muscat",1.0,79.0
Villa,78000,"Barka, Al Batinah",8.0,350.0
Villa,274733,"Yiti, Muscat",3.0,238.0
Villa,63500,"Barka, Al Batinah",5.0,327.0
Villa,725000,"The Wave (Almouj), Muscat",6.0,606.0
Villa,135000,"Salalah, Dhofar",2.0,124.0
Residential Land,34000,"Barka, Al Batinah",,600.0
Villa,140000,"Al Hail, Muscat",6.0,3.0
Apartment,109000,"Taqah, Dhofar",2.0,130.0
Apartment,68590,"Al Maabilah, Muscat",3.0,138.0
Apartment,44500,"Ghala, Muscat",2.0,95.0
Villa,35500,"Barka, Al Batinah",2.0,600.0
Apartment,68032,"Al Seeb, Muscat",1.0,96.0
Residential Land,5500,"Nizwa, Al Dakhiliya",,600.0
Apartment,146500,"The Wave (Almouj), Muscat",2.0,125.0
Apartment,80000,"Qurum, Muscat",2.0,137.0
Apartment,63000,"Muscat Hills, Muscat",1.0,74.0
Villa,1360000,"Al Mawaleh, Muscat",6.0,933.0
Villa,52000,"Al Amarat, Muscat",3.0,399.0
Apartment,59016,"Al Seeb, Muscat",1.0,83.0
Residential Land,19000,"Ruwi, Muscat",,147.0
Villa,44000,"Al Amarat, Muscat",4.0,208.0
Villa,65000,"Barka, Al Batinah",5.0,233.0
Apartment,63000,"Muscat Hills, Muscat",1.0,78.0
Villa,1500000,"The Wave (Almouj), Muscat",6.0,907.0
Villa,90000,"Al Maabilah, Muscat",3.0,600.0
Apartment,37000,"Al Maabilah, Muscat",2.0,136.0
Apartment,920000,"The Wave (Almouj), Muscat",4.0,421.0
Apartment,38000,"Ghala, Muscat",1.0,68.0
Apartment,245000,"The Wave (Almouj), Muscat",2.0,126.0
Residential Land,3650,"Al Amarat, Muscat",,600.0
Apartment,89000,"The Wave (Almouj), Muscat",1.0,104.0
Apartment,45000,"Al Hail, Muscat",2.0,130.0
Villa,240000,"Bosher, Muscat",5.0,404.0
Villa,716000,"Yiti, Muscat",3.0,166.0
Apartment,45000,"Salalah, Dhofar",,55.0
Villa,154900,"Al Maabilah, Muscat",5.0,400.0
Villa,227100,"Al Maabilah, Muscat",5.0,400.0
Villa,203300,"Al Maabilah, Muscat",5.0,500.0
Apartment,85000,"Muscat Hills, Muscat",2.0,135.0
Residential Land,15000,"Azaiba, Muscat",,90.0
Apartment,85034,"Yiti, Muscat",1.0,85.0
Villa,238000,"Yiti, Muscat",4.0,256.0
Apartment,155000,"Muscat - Other, Muscat",2.0,156.0
Apartment,125000,"The Wave (Almouj), Muscat",1.0,70.0
Apartment,69000,"Al Hail, Muscat",2.0,102.0
Villa,210000,"Al Hail, Muscat",6.0,480.0
Apartment,26500,"Al Seeb, Muscat",1.0,70.0
Residential Land,105000,"Al Mawaleh, Muscat",,690.0
Villa,588000,"The Wave (Almouj), Muscat",5.0,722.0
Residential Land,15000,"Barka, Al Batinah",,300.0
Villa,205000,"The Wave (Almouj), Muscat",4.0,175.0
Villa,117000,"Al Khoud, Muscat",4.0,328.0
Residential Land,25000,"Shinas, Al Batinah",,5.0
Residential Land,31500,"Shinas, Al Batinah",,6.0
Residential Land,4500,"Saham, Al Batinah",,607.0
Villa,335000,"Al Sifah, Muscat",4.0,344.0
Villa,47000,"Sumail, Al Dakhiliya",4.0,260.0
Apartment,36500,"Al Maabilah, Muscat",3.0,126.0
Residential Land,5200,"Saham, Al Batinah",,600.0
Villa,455000,"Yiti, Muscat",3.0,120.0
Villa,48000,"Sohar, Al Batinah",5.0,304.0
Residential Land,100000,"Al Rustaq, Al Batinah",,3.0
Residential Land,5950,"Al Masn'a, Al Batinah",,600.0
Residential Land,9300,"Saham, Al Batinah",,757.0
Apartment,23000,"Al Duqum, Al Wusta",1.0,35.0
Villa,49000,"Al Rustaq, Al Batinah",4.0,293.0
Residential Land,130000,"Al Maabilah, Muscat",,500.0
Villa,105000,"Ansab, Muscat",5.0,422.0
Apartment,135000,"The Wave (Almouj), Muscat",3.0,138.0
Chalet,85000,"Suwaiq, Al Batinah",3.0,10.0
Villa,39000,"Al Amarat, Muscat",3.0,423.0
Apartment,112000,"Muscat Hills, Muscat",2.0,138.0
Villa,174650,"Al Maabilah, Muscat",5.0,249.0
Apartment,90675,"Muscat Hills, Muscat",2.0,108.0
Apartment,65000,"Muscat Hills, Muscat",1.0,85.0
Villa,165000,"Ansab, Muscat",7.0,300.0
